countyfips,level,pct
01083,18_to_34,0.27812200200625
01083,35_to_49,0.26493696725000
01083,50_to_64,0.25873141781250
01083,65_or_older,0.19728485684375
01085,18_to_34,0.27233884522500
01085,35_to_49,0.22619638535000
01085,50_to_64,0.27405580620000
01085,65_or_older,0.22740896320000
01087,18_to_34,0.30206581992500
01087,35_to_49,0.19598454295833
01087,50_to_64,0.25815562981667
01087,65_or_older,0.24303933849167
01089,18_to_34,0.30209558789726
01089,35_to_49,0.24126718309178
01089,50_to_64,0.26069051788904
01089,65_or_older,0.19529656506575
01091,18_to_34,0.26263980213333
01091,35_to_49,0.23333368228333
01091,50_to_64,0.25959649640000
01091,65_or_older,0.24443001918333
01093,18_to_34,0.23573764523750
01093,35_to_49,0.23797399992500
01093,50_to_64,0.26500915177500
01093,65_or_older,0.26124046317500
01095,18_to_34,0.26913630462222
01095,35_to_49,0.25401460722778
01095,50_to_64,0.25363100652222
01095,65_or_older,0.22280004605000
01097,18_to_34,0.29908022638522
01097,35_to_49,0.22594831871652
01097,50_to_64,0.25564291829913
01097,65_or_older,0.20126545070348
01099,18_to_34,0.23535248255714
01099,35_to_49,0.23735864141429
01099,50_to_64,0.28197297478571
01099,65_or_older,0.24531590122857
01101,18_to_34,0.32073444256000
01101,35_to_49,0.25014104859538
01101,50_to_64,0.24657112325385
01101,65_or_older,0.18187993941385
01103,18_to_34,0.26209835209259
01103,35_to_49,0.25526347050370
01103,50_to_64,0.26593488186296
01103,65_or_older,0.21580057540370
01105,18_to_34,0.30124840703333
01105,35_to_49,0.21513058483333
01105,50_to_64,0.25213033666667
01105,65_or_older,0.22957087220000
01107,18_to_34,0.25873154236000
01107,35_to_49,0.23263439286000
01107,50_to_64,0.26463220504000
01107,65_or_older,0.24313438468000
01109,18_to_34,0.36852226002500
01109,35_to_49,0.20568043263750
01109,50_to_64,0.22675667768750
01109,65_or_older,0.19677453307500
01111,18_to_34,0.24623859995000
01111,35_to_49,0.23885310833333
01111,50_to_64,0.26066778116667
01111,65_or_older,0.25352373541667
01113,18_to_34,0.30183093745385
01113,35_to_49,0.24332033201538
01113,50_to_64,0.26131185990769
01113,65_or_older,0.19352131522308
01115,18_to_34,0.26107430617692
01115,35_to_49,0.26488730551538
01115,50_to_64,0.26480767103846
01115,65_or_older,0.20895323878462
01117,18_to_34,0.26842790700625
01117,35_to_49,0.27065689743125
01117,50_to_64,0.25762960553958
01117,65_or_older,0.18223032725208
01119,18_to_34,0.33841493837500
01119,35_to_49,0.20567554550000
01119,50_to_64,0.24580389990000
01119,65_or_older,0.21010561622500
01121,18_to_34,0.27470693270909
01121,35_to_49,0.24776171966364
01121,50_to_64,0.26666042910455
01121,65_or_older,0.20904576419545
01123,18_to_34,0.23801197043000
01123,35_to_49,0.22303327547000
01123,50_to_64,0.27908232296000
01123,65_or_older,0.25928807653000
01125,18_to_34,0.40290191674043
01125,35_to_49,0.21780457727234
01125,50_to_64,0.21670425079362
01125,65_or_older,0.15850818080213
01127,18_to_34,0.25405292034444
